Wort Deutsch;Wort Pinyin ;Wortart;Satz Pinyin;Satz Deutsch;Wort Hanyu;Satz Hanyu;ID;Lektion
* Lektion 0;*Lektion 0;* Lektion 0;*Lektion 0;*Lektion 0;*Lektion 0;*Lektion 0;L00-1-00;L00
öffnen;dǎkāi;Verb;qǐng dǎkāi shū.;Bitte öffnen Sie das Buch.;打开;请打开书。;L00-1-01;L00
sprechen (vorlesen);niàn;Verb;gēn wǒ niàn.;Sprechen Sie mir nach.;念;跟我念。;L00-1-02;L00
Text / Lektionstext;kè wén;Subst.;qǐng niàn kè wén.;Lesen Sie den Text.;课文;请念课文。;L00-1-03;L00
Vokabel;shēng cí;Subst.;qǐng niàn shēng cí.;Lesen Sie die neuen Vokabeln.;生词;请念生词。;L00-1-04;L00
hören;tīng;Verb;qǐng tīng.;Hören Sie.;听;请听。;L00-1-05;L00
schreiben;xiě;Verb;qǐng xiě.;Schreiben Sie.;写;请写。;L00-1-06;L00
sprechen (reden);shuō;Verb;qǐng gēn tóng xué shuō.;Bitte sprechen Sie mit einem Mitschüler.;说;请跟同学说。;L00-1-07;L00
Bitte machen Sie die Übung.;liàn xí;Subst. / Verb / Satz;qǐng zuò liàn xí.;Bitte machen Sie die Übung.;练习;请做练习。;L00-1-08;L00
Aussprache;fā yīn;Subst.;Qǐng zhùyì fāyīn.;Bitte achten Sie auf die Aussprache (Ton/Phonologie).;发音;请注意发音。;L00-1-09;L00
Verstehen Sie das?;dǒng;Satz;dǒng bù dǒng?;Verstehen Sie das?;懂;懂不懂?;L00-1-10;L00
verstehen;dǒng;Verb;dǒng le.;Ja, ich verstehe.;懂;懂了。;L00-1-11;L00
verstehe nicht;bù dǒng;Satz;bù dǒng.;Nein, ich verstehe nicht.;不懂;不懂。;L00-1-12;L00
noch einmal;yí biàn;Adverb / Satz;qǐng zài shuō yī biàn.;Bitte sagen Sie es noch einmal.;一遍;请再说一遍。;L00-1-13;L00
langsam;màn man;Adverb;qǐng màn màn shuō.;Bitte sprechen Sie langsam.;慢慢;请慢慢说。;L00-1-14;L00
Ton / Klang / Laut / Tonhöhe;shēng / shēng diào;Subst.;"""máng"" shì dì jǐ shēng?";"Welchen Ton hat ""mang""?";声/ 声调;“忙”是第几声?;L00-1-15;L00
Schriftzeichen;zì;Subst.;Nín néng xiě chū nàgè zì ma?;Können Sie das Zeichen schreiben?;字;您能写出那个字吗？;L00-1-16;L00
Pinyin;pīnyīn;Subst.;Nín néng xiě chū pīnyīn ma?;Können Sie die Pinyin schreiben?;拼音;您能写出拼音吗？;L00-1-17;L00
Bedeutung;yìsi;Subst.;zhè shì shén me yìsi?;Was bedeutet das?;意思;这是什么意思?;L00-1-18;L00
Satz;jù zi;Subst.;qǐng jiě shì zhè ge jù zi.;Bitte erklären Sie diesen Satz.;句子;请解释这个句子。;L00-1-19;L00
Schriftzeichen;zì;Subst.;qǐng jiě shì zhè ge zì.;Bitte erklären Sie dieses Schriftzeichen.;字;请解释这个字。;L00-1-20;L00
richtig;duì;Adjektiv;duì bù duì?;Ist  das richtig? Stimmt das?;对;对不对?;L00-1-21;L00
Ja, richtig.;duì;Satz;duì.;Ja, richtig. ;对;对;L00-1-22;L00
Nein, nicht richtig.;bù duì;Satz;bù duì.;Nein, nicht richtig.;不对;不对;L00-1-23;L00
sagen;shuō;Verb;wǒ shuō de duì ma?;Habe ich das richtig gesagt?;说;我说得对吗？;L00-1-24;L00
schreiben;xiě;Verb;wǒ xiě de duì ma?;Habe ich das richtig geschrieben?;写;我写得对吗？;L00-1-25;L00
Frage;wèn tí;Subst.;Lǎoshī, wǒ yǒu yī gè wèntí.;Lehrer, ich habe eine Frage.;问题;老师，我有一个问题。;L00-1-28;L00
Grammatik;yǔ fǎ;Subst.;Zhè shì yǔfǎ.;Das ist Grammatik.;语法;这是语法。;L00-1-29;L00
* Lektion 1;*Lektion 1;* Lektion 1;*Lektion 1;*Lektion 1;*Lektion 1;*Lektion 1;L01-1-00;L01
nicht, nein;bù;Adverb;Wǒ bù hěn hǎo.;Mir geht es nicht so gut.;不;我不太好。;L01-1-01;L01
hungrig;è;Adjektiv;Wǒ hěn è.;Ich bin sehr hungrig.;饿; 我很高兴见到你。;L01-1-02;L01
gut;hǎo;Adjektiv;Wǒ hěn hǎo.;Mir geht es sehr gut.;好;我很好。;L01-1-03;L01
sehr;hěn;Adverb;Wǒ hěn gāoxìng jiàn dào nǐ.;Es freut mich sehr dich zu sehen.;很;我很高兴见到你。;L01-1-04;L01
durstig;kě;Adjektiv;Tā hěn kě.;Sie ist sehr durstig.;渴;她很渴。;L01-1-05;L01
erschöpft, müde;lèi;Adjektiv;Wǒ hěn lèi.;Ich bin sehr müde.;累;我很累。;L01-1-06;L01
 Lǐ Lì; Lǐ Lì;Name;Lǐ lì shì zhōngguórén.;Lily ist Chinesein.;李莉;丽丽是中国人。;L01-1-07;L01
Fragepartikel;ma;Partikel;Nǐ hǎo ma?;Geht es dir gut?;吗;你好吗？;L01-1-08;L01
Es geht so.;mǎmǎhūhū;Adjektiv;Wǒ de Hànyǔ mǎmǎhūhū.;Mein Chinesisch ist durchschnittlich.;马马虎虎;我的汉语马马虎虎。;L01-1-09;L01
beschäftigt sein, viel zu tun haben;máng;Adjektiv;Wǒ hěn máng.;Ich bin sehr beschäftigt.;忙;我很忙。;L01-1-10;L01
Fragepartikel, Interrogativpartikel;ne;Partikel;Nǐ ne?;Und du?;呢;你呢？;L01-1-11;L01
du, dich, dir, (dein);nǐ;Pronomen;Nǐ shì zhōngguórén ma?;Bist du Chinese?;你;你是中国人吗？;L01-1-12;L01
Sie, Ihnen;nín;Pronomen;Nín guì xìng?;Wie ist Ihr Nachname?;您;您贵姓？;L01-1-13;L01
ich, mich, mir, (mein);wǒ;Pronomen;Wǒ shì xuéshēng.;Ich bin Student.;我;我是学生。;L01-1-14;L01
Johann;Yuēhàn;Name;Yuēhàn shì měiguórén.;Johann ist Amerikaner.;约翰;约翰是美国人。;L01-1-15;L01
Auf Wiedersehen!;zàijiàn;Phrase;Zàijiàn!;Auf Wiedersehen!;再见;再见！;L01-1-16;L01
* Lektion 1 Dialoge;*Lektion 1 Dialoge;* Lektion 1 Dialoge;*Lektion 1 Dialoge;*Lektion 1 Dialoge;*Lektion 1 Dialoge;*Lektion 1 Dialoge;LD01-1-00;LD0
Guten Tag!;Nǐ hǎo!;;Nǐ hǎo!;Guten Tag!;你好！;你好！;LD01-1-01;LD0
Guten Tag!;Nǐ hǎo!;;Nǐ hǎo!;Guten Tag!;你好！;你好！;LD01-1-02;LD0
Wie geht es Ihnen?;Nǐ hǎo ma?;;Nǐ hǎo ma?;Wie geht es Ihnen?;你好吗？;你好吗？;LD01-1-03;LD0
Mir geht es gut, und Ihnen?;Wǒ hěn hǎo, nǐ ne?;;Wǒ hěn hǎo, nǐ ne?;Mir geht es gut, und Ihnen?;我很好，你呢？;我很好，你呢？;LD01-1-04;LD0
Es geht so.;Mǎmǎ-hūhū;;Mǎmǎ-hūhū;Es geht so.;马马虎虎;马马虎虎;LD01-1-05;LD0
Auf Wiedersehen.;Zàijiàn.;;Zàijiàn.;Auf Wiedersehen.;再见。;再见。;LD01-1-06;LD0
Auf Wiedersehen.;Zàijiàn.;;Zàijiàn.;Auf Wiedersehen.;再见。;再见。;LD01-1-07;LD0
Wie geht es Ihnen?;Nǐ hǎo ma?;;Nǐ hǎo ma?;Wie geht es Ihnen?;你好吗？;你好吗？;LD01-1-08;LD0
Es geht so.;Mǎmǎ-hūhū;;Mǎmǎ-hūhū;Es geht so.;马马虎虎;马马虎虎;LD01-1-09;LD0
Mir geht es gut.;Wǒ hěn hǎo.;;Wǒ hěn hǎo.;Mir geht es gut.;我很好。;我很好。;LD01-1-10;LD0
